text,label,scam_type,timestamp,text_clean,cluster
WhatsApp verification code: 309044. Please share the code so I can confirm.,scam,otp,2025-03-18 09:19:00,whatsapp verification code NUM please share the code so i can confirm,0
Let's push the deployment to Friday.,legit,none,2025-03-16 16:29:00,lets push the deployment to friday,5
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-03-05 04:04:00,hi its john on a new number — can you confirm my code NUM,0
Call me when you are free.,legit,none,2025-01-01 17:05:00,call me when you are free,2
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-28 06:02:00,your parcel is ready for delivery click to confirm,3
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-02-12 19:49:00,we detected unusual activity verify here,0
Call me when you are free.,legit,none,2025-03-20 08:24:00,call me when you are free,2
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-24 05:33:00,hey its sam lost my phone i changed numbers send me the verification code,9
Call me when you are free.,legit,none,2025-02-22 10:45:00,call me when you are free,2
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-24 22:49:00,you have won a prize click this link to claim your reward,6
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-30 19:06:00,your account code NUM — please confirm by sending it here,0
Can you send the report by tomorrow morning?,legit,none,2025-02-03 15:14:00,can you send the report by tomorrow morning,4
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-22 03:49:00,i just sent you a code by mistake can you forward it,4
Happy birthday! Hope you have a great day :),legit,none,2025-01-09 06:35:00,happy birthday hope you have a great day,6
Can you send the report by tomorrow morning?,legit,none,2025-02-19 15:51:00,can you send the report by tomorrow morning,4
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-01-04 06:25:00,this is your colleague mark im on a temporary phone — whats the code,3
Can you send the report by tomorrow morning?,legit,none,2025-01-12 16:28:00,can you send the report by tomorrow morning,4
"Hey, are we still meeting at 5pm?",legit,none,2025-01-14 21:53:00,hey are we still meeting at 5pm,1
Happy birthday! Hope you have a great day :),legit,none,2025-03-23 20:59:00,happy birthday hope you have a great day,6
"Hey, are we still meeting at 5pm?",legit,none,2025-03-20 03:37:00,hey are we still meeting at 5pm,1
Can you send the report by tomorrow morning?,legit,none,2025-02-10 21:18:00,can you send the report by tomorrow morning,4
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-11 23:34:00,your account code NUM — please confirm by sending it here,0
Happy birthday! Hope you have a great day :),legit,none,2025-02-02 05:58:00,happy birthday hope you have a great day,6
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-01-30 10:12:00,you have won a prize click this link to claim your reward,6
Let's push the deployment to Friday.,legit,none,2025-01-19 12:45:00,lets push the deployment to friday,5
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-01-09 05:26:00,this is your colleague mark im on a temporary phone — whats the code,3
Let's push the deployment to Friday.,legit,none,2025-02-23 00:30:00,lets push the deployment to friday,5
WhatsApp verification code: 879779. Please share the code so I can confirm.,scam,otp,2025-03-20 09:57:00,whatsapp verification code NUM please share the code so i can confirm,0
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-17 05:48:00,you have won a prize click this link to claim your reward,6
Can you send the report by tomorrow morning?,legit,none,2025-02-03 03:39:00,can you send the report by tomorrow morning,4
Call me when you are free.,legit,none,2025-01-29 19:07:00,call me when you are free,2
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-16 02:27:00,your parcel is ready for delivery click to confirm,3
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-01 03:35:00,hey its sam lost my phone i changed numbers send me the verification code,9
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-05 04:28:00,hi its john on a new number — can you confirm my code NUM,0
"Investment opportunity, send your account details.",scam,other,2025-03-11 20:33:00,investment opportunity send your account details,7
Call me when you are free.,legit,none,2025-01-08 21:55:00,call me when you are free,2
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-03-03 16:15:00,urgent send money to this number or ill be in trouble,8
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-13 03:17:00,i just sent you a code by mistake can you forward it,4
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-29 21:08:00,please send me the 6digit code i sent you — i need to log in,8
"Hey, are we still meeting at 5pm?",legit,none,2025-03-27 11:07:00,hey are we still meeting at 5pm,1
WhatsApp verification code: 611945. Please share the code so I can confirm.,scam,otp,2025-01-20 23:20:00,whatsapp verification code NUM please share the code so i can confirm,0
"Hey, are we still meeting at 5pm?",legit,none,2025-01-05 04:06:00,hey are we still meeting at 5pm,1
"Investment opportunity, send your account details.",scam,other,2025-01-01 20:31:00,investment opportunity send your account details,7
Let's push the deployment to Friday.,legit,none,2025-02-14 11:22:00,lets push the deployment to friday,5
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-14 03:17:00,this is your colleague mark im on a temporary phone — whats the code,3
Call me when you are free.,legit,none,2025-01-18 07:14:00,call me when you are free,2
"Hey, are we still meeting at 5pm?",legit,none,2025-02-08 03:48:00,hey are we still meeting at 5pm,1
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-01-31 00:28:00,we detected unusual activity verify here,0
"Hey, are we still meeting at 5pm?",legit,none,2025-01-22 22:11:00,hey are we still meeting at 5pm,1
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-01-16 19:42:00,we detected unusual activity verify here,0
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-06 09:03:00,this is whatsapp support your otp is NUM please share to verify,3
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-08 23:48:00,your account code NUM — please confirm by sending it here,0
Happy birthday! Hope you have a great day :),legit,none,2025-01-23 17:42:00,happy birthday hope you have a great day,6
"Hey, are we still meeting at 5pm?",legit,none,2025-02-04 13:57:00,hey are we still meeting at 5pm,1
Happy birthday! Hope you have a great day :),legit,none,2025-01-26 23:08:00,happy birthday hope you have a great day,6
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-27 15:47:00,i just sent you a code by mistake can you forward it,4
"Investment opportunity, send your account details.",scam,other,2025-03-30 14:52:00,investment opportunity send your account details,7
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-20 01:44:00,your parcel is ready for delivery click to confirm,3
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-31 06:25:00,this is whatsapp support your otp is NUM please share to verify,3
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-01-29 06:50:00,we detected unusual activity verify here,0
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-10 16:59:00,urgent send money to this number or ill be in trouble,8
"Hey, are we still meeting at 5pm?",legit,none,2025-03-08 10:07:00,hey are we still meeting at 5pm,1
"Hey, are we still meeting at 5pm?",legit,none,2025-03-28 19:38:00,hey are we still meeting at 5pm,1
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-02-04 21:57:00,we detected unusual activity verify here,0
Let's push the deployment to Friday.,legit,none,2025-03-30 11:07:00,lets push the deployment to friday,5
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-30 07:24:00,your parcel is ready for delivery click to confirm,3
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-02-26 09:46:00,urgent send money to this number or ill be in trouble,8
Call me when you are free.,legit,none,2025-03-18 02:19:00,call me when you are free,2
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-09 11:37:00,bank alert your account needs verification login at,7
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-29 15:04:00,your parcel is ready for delivery click to confirm,3
"Hey, are we still meeting at 5pm?",legit,none,2025-01-11 11:58:00,hey are we still meeting at 5pm,1
"Investment opportunity, send your account details.",scam,other,2025-02-02 16:09:00,investment opportunity send your account details,7
"Hey, are we still meeting at 5pm?",legit,none,2025-02-24 12:24:00,hey are we still meeting at 5pm,1
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-03-21 13:41:00,hi its john on a new number — can you confirm my code NUM,0
Let's push the deployment to Friday.,legit,none,2025-01-05 00:57:00,lets push the deployment to friday,5
Can you send the report by tomorrow morning?,legit,none,2025-01-16 03:18:00,can you send the report by tomorrow morning,4
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-01 09:56:00,bank alert your account needs verification login at,7
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-16 16:31:00,you have won a prize click this link to claim your reward,6
Call me when you are free.,legit,none,2025-01-31 03:24:00,call me when you are free,2
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-26 10:31:00,we detected unusual activity verify here,0
Call me when you are free.,legit,none,2025-02-08 23:55:00,call me when you are free,2
Let's push the deployment to Friday.,legit,none,2025-03-22 04:16:00,lets push the deployment to friday,5
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-12 01:15:00,bank alert your account needs verification login at,7
Can you send the report by tomorrow morning?,legit,none,2025-01-25 01:44:00,can you send the report by tomorrow morning,4
"Transfer me $200 now, my account is frozen.",scam,other,2025-02-25 06:09:00,transfer me 200 now my account is frozen,9
"Investment opportunity, send your account details.",scam,other,2025-02-28 19:57:00,investment opportunity send your account details,7
Call me when you are free.,legit,none,2025-02-24 02:44:00,call me when you are free,2
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-10 07:26:00,this is whatsapp support your otp is NUM please share to verify,3
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-05 13:50:00,this is whatsapp support your otp is NUM please share to verify,3
Let's push the deployment to Friday.,legit,none,2025-01-13 01:21:00,lets push the deployment to friday,5
WhatsApp verification code: 587623. Please share the code so I can confirm.,scam,otp,2025-03-05 16:00:00,whatsapp verification code NUM please share the code so i can confirm,0
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-26 03:28:00,your parcel is ready for delivery click to confirm,3
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-14 03:00:00,this is your colleague mark im on a temporary phone — whats the code,3
Can you send the report by tomorrow morning?,legit,none,2025-02-23 13:28:00,can you send the report by tomorrow morning,4
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-16 04:24:00,this is whatsapp support your otp is NUM please share to verify,3
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-28 01:34:00,bank alert your account needs verification login at,7
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-18 14:04:00,we detected unusual activity verify here,0
Happy birthday! Hope you have a great day :),legit,none,2025-01-30 16:33:00,happy birthday hope you have a great day,6
Call me when you are free.,legit,none,2025-02-10 20:00:00,call me when you are free,2
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-24 06:15:00,this is whatsapp support your otp is NUM please share to verify,3
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-16 19:56:00,this is whatsapp support your otp is NUM please share to verify,3
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-02 18:20:00,i just sent you a code by mistake can you forward it,4
"Hey, are we still meeting at 5pm?",legit,none,2025-01-06 12:24:00,hey are we still meeting at 5pm,1
Can you send the report by tomorrow morning?,legit,none,2025-03-22 05:28:00,can you send the report by tomorrow morning,4
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-24 21:49:00,please send me the 6digit code i sent you — i need to log in,8
Let's push the deployment to Friday.,legit,none,2025-03-21 23:35:00,lets push the deployment to friday,5
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-02-10 09:13:00,hi its john on a new number — can you confirm my code NUM,0
"Hey, are we still meeting at 5pm?",legit,none,2025-03-01 08:37:00,hey are we still meeting at 5pm,1
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-25 21:51:00,we detected unusual activity verify here,0
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-27 01:09:00,please send me the 6digit code i sent you — i need to log in,8
Call me when you are free.,legit,none,2025-03-02 05:52:00,call me when you are free,2
Let's push the deployment to Friday.,legit,none,2025-01-10 07:16:00,lets push the deployment to friday,5
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-02-27 01:15:00,hey its sam lost my phone i changed numbers send me the verification code,9
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-16 07:38:00,you have won a prize click this link to claim your reward,6
Call me when you are free.,legit,none,2025-03-25 14:28:00,call me when you are free,2
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-02-04 14:08:00,this is your colleague mark im on a temporary phone — whats the code,3
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-10 05:05:00,your account code NUM — please confirm by sending it here,0
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-03 14:41:00,this is whatsapp support your otp is NUM please share to verify,3
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-12 15:53:00,your parcel is ready for delivery click to confirm,3
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-20 21:39:00,this is whatsapp support your otp is NUM please share to verify,3
Can you send the report by tomorrow morning?,legit,none,2025-03-29 03:03:00,can you send the report by tomorrow morning,4
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-07 19:39:00,you have won a prize click this link to claim your reward,6
Call me when you are free.,legit,none,2025-02-25 10:18:00,call me when you are free,2
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-14 14:51:00,this is whatsapp support your otp is NUM please share to verify,3
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-31 06:32:00,we detected unusual activity verify here,0
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-18 08:16:00,this is whatsapp support your otp is NUM please share to verify,3
WhatsApp verification code: 790855. Please share the code so I can confirm.,scam,otp,2025-01-08 17:14:00,whatsapp verification code NUM please share the code so i can confirm,0
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-01 17:41:00,urgent send money to this number or ill be in trouble,8
Happy birthday! Hope you have a great day :),legit,none,2025-01-01 04:42:00,happy birthday hope you have a great day,6
Call me when you are free.,legit,none,2025-03-31 14:05:00,call me when you are free,2
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-17 18:05:00,please send me the 6digit code i sent you — i need to log in,8
Let's push the deployment to Friday.,legit,none,2025-01-15 03:39:00,lets push the deployment to friday,5
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-14 00:12:00,please send me the 6digit code i sent you — i need to log in,8
Can you send the report by tomorrow morning?,legit,none,2025-03-16 07:51:00,can you send the report by tomorrow morning,4
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-24 12:22:00,your account code NUM — please confirm by sending it here,0
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-07 14:45:00,bank alert your account needs verification login at,7
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-14 13:55:00,i just sent you a code by mistake can you forward it,4
Let's push the deployment to Friday.,legit,none,2025-02-09 13:45:00,lets push the deployment to friday,5
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-17 23:53:00,this is whatsapp support your otp is NUM please share to verify,3
Happy birthday! Hope you have a great day :),legit,none,2025-01-25 03:20:00,happy birthday hope you have a great day,6
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-03-16 01:15:00,bank alert your account needs verification login at,7
Can you send the report by tomorrow morning?,legit,none,2025-03-09 01:02:00,can you send the report by tomorrow morning,4
Happy birthday! Hope you have a great day :),legit,none,2025-02-21 01:19:00,happy birthday hope you have a great day,6
Let's push the deployment to Friday.,legit,none,2025-01-20 02:55:00,lets push the deployment to friday,5
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-03-01 04:15:00,your account code NUM — please confirm by sending it here,0
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-20 22:25:00,urgent send money to this number or ill be in trouble,8
Happy birthday! Hope you have a great day :),legit,none,2025-03-02 12:33:00,happy birthday hope you have a great day,6
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-22 05:57:00,i just sent you a code by mistake can you forward it,4
"Investment opportunity, send your account details.",scam,other,2025-02-06 00:39:00,investment opportunity send your account details,7
"Hey, are we still meeting at 5pm?",legit,none,2025-01-01 20:20:00,hey are we still meeting at 5pm,1
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-27 16:52:00,hi its john on a new number — can you confirm my code NUM,0
