text,label,scam_type,timestamp
Can you send the report by tomorrow morning?,legit,none,2025-01-25 06:50:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-13 03:16:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-20 02:20:00
Can you send the report by tomorrow morning?,legit,none,2025-02-06 06:27:00
Can you send the report by tomorrow morning?,legit,none,2025-03-30 20:33:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-19 20:59:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-20 21:37:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-28 22:56:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-04 19:40:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-29 10:52:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-20 07:39:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-25 16:56:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-22 17:14:00
WhatsApp verification code: 284430. Please share the code so I can confirm.,scam,otp,2025-03-15 04:36:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-03 17:05:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-01-30 05:21:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-24 20:53:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-03 10:54:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-08 19:06:00
"Transfer me $200 now, my account is frozen.",scam,other,2025-01-08 04:30:00
Can you send the report by tomorrow morning?,legit,none,2025-01-07 05:41:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-03-19 12:42:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-25 23:14:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-26 09:03:00
Let's push the deployment to Friday.,legit,none,2025-01-13 17:01:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-27 18:42:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-26 02:18:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-08 18:04:00
Let's push the deployment to Friday.,legit,none,2025-03-23 19:51:00
Can you send the report by tomorrow morning?,legit,none,2025-03-09 19:27:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-19 03:11:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-28 21:49:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-20 09:06:00
Call me when you are free.,legit,none,2025-03-22 14:17:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-06 00:16:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-11 14:38:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-09 21:04:00
Let's push the deployment to Friday.,legit,none,2025-01-06 04:52:00
"Investment opportunity, send your account details.",scam,other,2025-03-20 17:46:00
WhatsApp verification code: 971084. Please share the code so I can confirm.,scam,otp,2025-03-27 01:42:00
WhatsApp verification code: 421080. Please share the code so I can confirm.,scam,otp,2025-03-02 10:26:00
Let's push the deployment to Friday.,legit,none,2025-01-17 06:05:00
Call me when you are free.,legit,none,2025-02-08 09:42:00
"Investment opportunity, send your account details.",scam,other,2025-01-28 05:30:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-29 10:51:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-05 16:35:00
Happy birthday! Hope you have a great day :),legit,none,2025-03-28 04:25:00
WhatsApp verification code: 309044. Please share the code so I can confirm.,scam,otp,2025-03-18 09:19:00
Let's push the deployment to Friday.,legit,none,2025-03-16 16:29:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-03-05 04:04:00
Call me when you are free.,legit,none,2025-01-01 17:05:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-28 06:02:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-02-12 19:49:00
Call me when you are free.,legit,none,2025-03-20 08:24:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-24 05:33:00
Call me when you are free.,legit,none,2025-02-22 10:45:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-24 22:49:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-30 19:06:00
Can you send the report by tomorrow morning?,legit,none,2025-02-03 15:14:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-22 03:49:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-09 06:35:00
Can you send the report by tomorrow morning?,legit,none,2025-02-19 15:51:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-01-04 06:25:00
Can you send the report by tomorrow morning?,legit,none,2025-01-12 16:28:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-14 21:53:00
Happy birthday! Hope you have a great day :),legit,none,2025-03-23 20:59:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-20 03:37:00
Can you send the report by tomorrow morning?,legit,none,2025-02-10 21:18:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-11 23:34:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-02 05:58:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-01-30 10:12:00
Let's push the deployment to Friday.,legit,none,2025-01-19 12:45:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-01-09 05:26:00
Let's push the deployment to Friday.,legit,none,2025-02-23 00:30:00
WhatsApp verification code: 879779. Please share the code so I can confirm.,scam,otp,2025-03-20 09:57:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-17 05:48:00
Can you send the report by tomorrow morning?,legit,none,2025-02-03 03:39:00
Call me when you are free.,legit,none,2025-01-29 19:07:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-16 02:27:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-01 03:35:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-05 04:28:00
"Investment opportunity, send your account details.",scam,other,2025-03-11 20:33:00
Call me when you are free.,legit,none,2025-01-08 21:55:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-03-03 16:15:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-13 03:17:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-29 21:08:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-27 11:07:00
WhatsApp verification code: 611945. Please share the code so I can confirm.,scam,otp,2025-01-20 23:20:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-05 04:06:00
"Investment opportunity, send your account details.",scam,other,2025-01-01 20:31:00
Let's push the deployment to Friday.,legit,none,2025-02-14 11:22:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-14 03:17:00
Call me when you are free.,legit,none,2025-01-18 07:14:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-08 03:48:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-01-31 00:28:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-22 22:11:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-01-16 19:42:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-06 09:03:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-08 23:48:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-23 17:42:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-04 13:57:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-26 23:08:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-27 15:47:00
"Investment opportunity, send your account details.",scam,other,2025-03-30 14:52:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-20 01:44:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-31 06:25:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-01-29 06:50:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-10 16:59:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-08 10:07:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-28 19:38:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-02-04 21:57:00
Let's push the deployment to Friday.,legit,none,2025-03-30 11:07:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-30 07:24:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-02-26 09:46:00
Call me when you are free.,legit,none,2025-03-18 02:19:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-09 11:37:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-29 15:04:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-11 11:58:00
"Investment opportunity, send your account details.",scam,other,2025-02-02 16:09:00
"Hey, are we still meeting at 5pm?",legit,none,2025-02-24 12:24:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-03-21 13:41:00
Let's push the deployment to Friday.,legit,none,2025-01-05 00:57:00
Can you send the report by tomorrow morning?,legit,none,2025-01-16 03:18:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-01 09:56:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-16 16:31:00
Call me when you are free.,legit,none,2025-01-31 03:24:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-26 10:31:00
Call me when you are free.,legit,none,2025-02-08 23:55:00
Let's push the deployment to Friday.,legit,none,2025-03-22 04:16:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-12 01:15:00
Can you send the report by tomorrow morning?,legit,none,2025-01-25 01:44:00
"Transfer me $200 now, my account is frozen.",scam,other,2025-02-25 06:09:00
"Investment opportunity, send your account details.",scam,other,2025-02-28 19:57:00
Call me when you are free.,legit,none,2025-02-24 02:44:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-10 07:26:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-05 13:50:00
Let's push the deployment to Friday.,legit,none,2025-01-13 01:21:00
WhatsApp verification code: 587623. Please share the code so I can confirm.,scam,otp,2025-03-05 16:00:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-26 03:28:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-14 03:00:00
Can you send the report by tomorrow morning?,legit,none,2025-02-23 13:28:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-16 04:24:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-28 01:34:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-18 14:04:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-30 16:33:00
Call me when you are free.,legit,none,2025-02-10 20:00:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-24 06:15:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-16 19:56:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-02 18:20:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-06 12:24:00
Can you send the report by tomorrow morning?,legit,none,2025-03-22 05:28:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-24 21:49:00
Let's push the deployment to Friday.,legit,none,2025-03-21 23:35:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-02-10 09:13:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-01 08:37:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-25 21:51:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-27 01:09:00
Call me when you are free.,legit,none,2025-03-02 05:52:00
Let's push the deployment to Friday.,legit,none,2025-01-10 07:16:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-02-27 01:15:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-16 07:38:00
Call me when you are free.,legit,none,2025-03-25 14:28:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-02-04 14:08:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-10 05:05:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-03 14:41:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-12 15:53:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-20 21:39:00
Can you send the report by tomorrow morning?,legit,none,2025-03-29 03:03:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-07 19:39:00
Call me when you are free.,legit,none,2025-02-25 10:18:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-14 14:51:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-31 06:32:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-18 08:16:00
WhatsApp verification code: 790855. Please share the code so I can confirm.,scam,otp,2025-01-08 17:14:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-01 17:41:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-01 04:42:00
Call me when you are free.,legit,none,2025-03-31 14:05:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-17 18:05:00
Let's push the deployment to Friday.,legit,none,2025-01-15 03:39:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-02-14 00:12:00
Can you send the report by tomorrow morning?,legit,none,2025-03-16 07:51:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-24 12:22:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-07 14:45:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-14 13:55:00
Let's push the deployment to Friday.,legit,none,2025-02-09 13:45:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-17 23:53:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-25 03:20:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-03-16 01:15:00
Can you send the report by tomorrow morning?,legit,none,2025-03-09 01:02:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-21 01:19:00
Let's push the deployment to Friday.,legit,none,2025-01-20 02:55:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-03-01 04:15:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-20 22:25:00
Happy birthday! Hope you have a great day :),legit,none,2025-03-02 12:33:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-03-22 05:57:00
"Investment opportunity, send your account details.",scam,other,2025-02-06 00:39:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-01 20:20:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-01-27 16:52:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-03-04 20:00:00
Let's push the deployment to Friday.,legit,none,2025-01-20 03:09:00
Can you send the report by tomorrow morning?,legit,none,2025-02-16 01:07:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-03-20 15:29:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-01-01 22:10:00
Hi it's John on a new number — can you confirm my code? 564321,scam,impersonation,2025-02-18 08:21:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-02-25 11:45:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-21 05:40:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-05 01:14:00
Call me when you are free.,legit,none,2025-01-13 01:02:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-18 03:52:00
Let's push the deployment to Friday.,legit,none,2025-02-06 12:21:00
Call me when you are free.,legit,none,2025-02-20 10:03:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-01-07 05:28:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-03-04 06:47:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-20 04:15:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-14 11:12:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-27 00:10:00
Can you send the report by tomorrow morning?,legit,none,2025-01-18 11:04:00
Let's push the deployment to Friday.,legit,none,2025-01-26 08:37:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-03-30 04:56:00
Call me when you are free.,legit,none,2025-03-11 08:31:00
Call me when you are free.,legit,none,2025-01-06 13:09:00
Can you send the report by tomorrow morning?,legit,none,2025-03-06 21:27:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-12 00:26:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-07 22:52:00
WhatsApp verification code: 980660. Please share the code so I can confirm.,scam,otp,2025-02-28 00:59:00
Let's push the deployment to Friday.,legit,none,2025-02-02 08:06:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-03-31 21:33:00
"Investment opportunity, send your account details.",scam,other,2025-01-27 22:20:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-02-11 10:42:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-21 20:07:00
Can you send the report by tomorrow morning?,legit,none,2025-03-25 02:46:00
"Transfer me $200 now, my account is frozen.",scam,other,2025-03-24 21:16:00
Can you send the report by tomorrow morning?,legit,none,2025-01-15 20:57:00
Call me when you are free.,legit,none,2025-02-21 10:45:00
WhatsApp verification code: 768854. Please share the code so I can confirm.,scam,otp,2025-03-21 01:10:00
Can you send the report by tomorrow morning?,legit,none,2025-02-16 05:02:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-10 10:47:00
Call me when you are free.,legit,none,2025-01-19 02:22:00
"Hey, are we still meeting at 5pm?",legit,none,2025-01-28 15:49:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-06 16:01:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-07 04:03:00
Let's push the deployment to Friday.,legit,none,2025-01-26 15:30:00
Call me when you are free.,legit,none,2025-01-28 06:00:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-01-30 14:00:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-25 13:17:00
Can you send the report by tomorrow morning?,legit,none,2025-02-26 00:36:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-01-15 07:05:00
Let's push the deployment to Friday.,legit,none,2025-01-15 19:19:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-23 19:43:00
Call me when you are free.,legit,none,2025-01-03 09:58:00
Let's push the deployment to Friday.,legit,none,2025-01-15 16:58:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-29 20:50:00
Happy birthday! Hope you have a great day :),legit,none,2025-03-17 21:20:00
Can you send the report by tomorrow morning?,legit,none,2025-03-20 20:51:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-31 05:57:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-21 09:44:00
"Investment opportunity, send your account details.",scam,other,2025-01-18 07:20:00
"Investment opportunity, send your account details.",scam,other,2025-03-12 20:14:00
Let's push the deployment to Friday.,legit,none,2025-02-09 17:19:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-01-02 09:31:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-10 02:13:00
Let's push the deployment to Friday.,legit,none,2025-03-18 14:39:00
WhatsApp verification code: 167348. Please share the code so I can confirm.,scam,otp,2025-02-07 18:17:00
Happy birthday! Hope you have a great day :),legit,none,2025-01-21 05:54:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-23 15:58:00
Call me when you are free.,legit,none,2025-02-19 01:24:00
Can you send the report by tomorrow morning?,legit,none,2025-01-28 00:10:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-02-20 05:40:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-02-08 16:43:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-03-31 01:12:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-03-29 21:09:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-30 04:48:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-31 00:26:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-02-14 18:14:00
Call me when you are free.,legit,none,2025-01-27 16:27:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-01-09 12:00:00
Let's push the deployment to Friday.,legit,none,2025-01-15 08:36:00
You have won a prize! Click this link to claim your reward: http://scam.example,scam,phishing,2025-03-18 05:29:00
Let's push the deployment to Friday.,legit,none,2025-03-15 11:11:00
Happy birthday! Hope you have a great day :),legit,none,2025-02-14 04:53:00
Let's push the deployment to Friday.,legit,none,2025-01-04 11:34:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-31 06:37:00
Please send me the 6-digit code I sent you — I need to log in.,scam,otp,2025-03-14 05:56:00
Can you send the report by tomorrow morning?,legit,none,2025-01-18 07:31:00
Let's push the deployment to Friday.,legit,none,2025-01-20 08:29:00
"We detected unusual activity, verify here: http://verify.example",scam,phishing,2025-02-28 22:46:00
Call me when you are free.,legit,none,2025-01-08 07:00:00
Urgent! Send money to this number or I'll be in trouble.,scam,other,2025-01-24 05:46:00
"Hey, are we still meeting at 5pm?",legit,none,2025-03-30 00:12:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-25 19:48:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-31 14:17:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-01-27 12:15:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-14 04:54:00
WhatsApp verification code: 598216. Please share the code so I can confirm.,scam,otp,2025-02-25 15:20:00
Let's push the deployment to Friday.,legit,none,2025-03-13 05:08:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-01-31 05:15:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-02-19 09:21:00
Your parcel is ready for delivery. Click http://fake-delivery.example to confirm.,scam,phishing,2025-03-30 13:52:00
Your account code 987654 — please confirm by sending it here.,scam,otp,2025-02-16 01:17:00
"Hey it's Sam, lost my phone. I changed numbers, send me the verification code.",scam,impersonation,2025-02-04 02:51:00
This is WhatsApp support. Your OTP is 345678. Please share to verify.,scam,otp,2025-03-17 03:50:00
"Investment opportunity, send your account details.",scam,other,2025-01-24 02:49:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-02-08 16:44:00
"Investment opportunity, send your account details.",scam,other,2025-03-09 19:51:00
"I just sent you a code by mistake, can you forward it?",scam,otp,2025-01-27 18:46:00
"This is your colleague Mark, I'm on a temporary phone — what's the code?",scam,impersonation,2025-03-06 01:40:00
WhatsApp verification code: 224205. Please share the code so I can confirm.,scam,otp,2025-02-20 19:07:00
Bank alert: Your account needs verification. Login at http://bank.example,scam,phishing,2025-03-11 04:13:00
